Round,Date,Team 1,Team 2,FT,HT
22,2010-02-13,Hertha BSC,1. FSV Mainz 05,1-1,0-1
22,2010-02-13,Bayern München,Borussia Dortmund,3-1,1-1
22,2010-02-14,FC Schalke 04,1. FC Köln,2-0,1-0
22,2010-02-14,Eintracht Frankfurt,SC Freiburg,2-1,1-1
23,2010-02-19,1899 Hoffenheim,Bor. Mönchengladbach,2-2,0-1
23,2010-02-20,1. FC Nürnberg,Bayern München,1-1,0-1
23,2010-02-20,1. FC Köln,VfB Stuttgart,1-5,1-3
23,2010-02-20,Borussia Dortmund,Hannover 96,4-1,1-0
23,2010-02-20,Hamburger SV,Eintracht Frankfurt,0-0,0-0
23,2010-02-20,1. FSV Mainz 05,VfL Bochum,0-0,0-0
23,2010-02-21,SC Freiburg,Hertha BSC,0-3,0-2
23,2010-02-21,VfL Wolfsburg,FC Schalke 04,2-1,0-1
23,2010-02-21,Werder Bremen,Bayer Leverkusen,2-2,1-1
24,2010-02-26,FC Schalke 04,Borussia Dortmund,2-1,0-0
24,2010-02-27,Hertha BSC,1899 Hoffenheim,0-2,0-1
24,2010-02-27,1. FSV Mainz 05,Werder Bremen,1-2,1-1
24,2010-02-27,VfB Stuttgart,Eintracht Frankfurt,2-1,2-1
24,2010-02-27,Bor. Mönchengladbach,SC Freiburg,1-1,0-0
24,2010-02-27,VfL Bochum,1. FC Nürnberg,0-0,0-0
24,2010-02-27,Bayer Leverkusen,1. FC Köln,0-0,0-0
24,2010-02-28,Hannover 96,VfL Wolfsburg,0-1,0-0
24,2010-02-28,Bayern München,Hamburger SV,1-0,0-0
25,2010-03-06,1. FC Köln,Bayern München,1-1,1-0
25,2010-03-06,Werder Bremen,VfB Stuttgart,2-2,0-2
25,2010-03-06,Hamburger SV,Hertha BSC,1-0,1-0
25,2010-03-06,Eintracht Frankfurt,FC Schalke 04,1-4,0-2
25,2010-03-06,SC Freiburg,Hannover 96,1-2,0-0
25,2010-03-06,VfL Wolfsburg,VfL Bochum,4-1,0-1
25,2010-03-06,Borussia Dortmund,Bor. Mönchengladbach,3-0,1-0
25,2010-03-07,1. FC Nürnberg,Bayer Leverkusen,3-2,2-0
25,2010-03-07,1899 Hoffenheim,1. FSV Mainz 05,0-1,0-0
26,2010-03-12,FC Schalke 04,VfB Stuttgart,2-1,0-0
26,2010-03-13,Bor. Mönchengladbach,VfL Wolfsburg,0-4,0-1
26,2010-03-13,VfL Bochum,Borussia Dortmund,1-4,0-2
26,2010-03-13,1. FSV Mainz 05,1. FC Köln,1-0,0-0
26,2010-03-13,Hannover 96,Eintracht Frankfurt,2-1,1-1
26,2010-03-13,Hertha BSC,1. FC Nürnberg,1-2,1-0
26,2010-03-13,Bayern München,SC Freiburg,2-1,0-1
26,2010-03-14,1899 Hoffenheim,Werder Bremen,0-1,0-0
26,2010-03-14,Bayer Leverkusen,Hamburger SV,4-2,1-1
27,2010-03-19,1. FC Köln,Bor. Mönchengladbach,1-1,0-0
27,2010-03-20,Eintracht Frankfurt,Bayern München,2-1,0-1
27,2010-03-20,1. FC Nürnberg,1899 Hoffenheim,0-0,0-0
27,2010-03-20,VfB Stuttgart,Hannover 96,2-0,1-0
27,2010-03-20,Werder Bremen,VfL Bochum,3-2,0-1
27,2010-03-20,SC Freiburg,1. FSV Mainz 05,1-0,1-0
27,2010-03-20,Borussia Dortmund,Bayer Leverkusen,3-0,0-0
27,2010-03-21,Hamburger SV,FC Schalke 04,2-2,1-0
27,2010-03-21,VfL Wolfsburg,Hertha BSC,1-5,1-3
28,2010-03-26,VfL Bochum,Eintracht Frankfurt,1-2,1-1
28,2010-03-27,1. FSV Mainz 05,VfL Wolfsburg,0-2,0-0
28,2010-03-27,Bayern München,VfB Stuttgart,1-2,1-1
28,2010-03-27,Hertha BSC,Borussia Dortmund,0-0,0-0
28,2010-03-27,Hannover 96,1. FC Köln,1-4,0-3
28,2010-03-27,Werder Bremen,1. FC Nürnberg,4-2,3-0
28,2010-03-27,Bayer Leverkusen,FC Schalke 04,0-2,0-2
28,2010-03-28,1899 Hoffenheim,SC Freiburg,1-1,0-0
