Round,Date,Time,Team 1,Team 2,FT,HT
4,1969-09-06,15:30,1. FC Kaiserslautern,Bayern München,0-0,0-0
4,1969-09-06,15:30,TSV 1860 München,1. FC Köln,1-0,0-0
4,1969-09-06,15:30,Rot-Weiss Essen,Hertha BSC,5-2,3-2
4,1969-09-06,15:30,Eintracht Braunschweig,Rot-Weiss Oberhausen,0-4,0-3
4,1969-09-06,15:30,Werder Bremen,Hamburger SV,1-1,1-1
4,1969-09-06,15:30,Alemannia Aachen,VfB Stuttgart,4-2,2-2
4,1969-09-06,15:30,Borussia Dortmund,FC Schalke 04,1-1,0-1
5,1969-09-12,20:00,Eintracht Frankfurt,Rot-Weiss Essen,2-1,1-1
5,1969-09-12,20:00,Bor. Mönchengladbach,1. FC Kaiserslautern,1-1,1-0
5,1969-09-12,20:00,Bayern München,Borussia Dortmund,3-0,1-0
5,1969-09-13,15:30,Hamburger SV,MSV Duisburg,4-1,3-1
5,1969-09-13,15:30,Rot-Weiss Oberhausen,Werder Bremen,3-1,2-1
5,1969-09-13,15:30,FC Schalke 04,Eintracht Braunschweig,1-1,1-1
5,1969-09-13,15:30,1. FC Köln,Alemannia Aachen,3-0,1-0
5,1969-09-13,15:30,Hannover 96,TSV 1860 München,3-1,1-0
5,1969-09-13,15:30,VfB Stuttgart,Hertha BSC,1-4,1-0
6,1969-09-26,20:00,Hertha BSC,1. FC Köln,1-0,0-0
6,1969-09-26,20:00,MSV Duisburg,Rot-Weiss Oberhausen,2-1,0-1
6,1969-09-27,15:30,TSV 1860 München,Hamburger SV,0-2,0-0
6,1969-09-27,15:30,Eintracht Braunschweig,Bayern München,0-4,0-2
6,1969-09-27,15:30,Werder Bremen,FC Schalke 04,0-1,0-1
6,1969-09-27,15:30,Alemannia Aachen,Hannover 96,1-1,0-1
6,1969-09-27,15:30,1. FC Kaiserslautern,Eintracht Frankfurt,2-0,1-0
6,1969-09-27,15:30,Borussia Dortmund,Bor. Mönchengladbach,2-1,0-1
6,1969-09-27,15:30,Rot-Weiss Essen,VfB Stuttgart,3-3,3-2
